objectid,filename,title,creator,date,subject,location,source,format,language,rights,rightsstatement,dimension,file format,publisher,series,translator,place of publication,lenght,description
apiano_guerrasibericas_001,apiano_guerrasibericas_001.pdf,Guerras Ibéricas,Apiano,9/8/16,Imperator; Numancia; Antonino Pío; Ampurias; Iberia; Hispania; Apiano; Roma; Grecia,Hispania; Roma; Numancia; Iberia; Lusitania,personal coleccion,application/pdf,spa,In Copyright - Educational Use Permitted.,http://rightsstatements.org/vocab/InC-EDU/1.0/,4.53 x 7.28 in,.pdf,Alianza Editorial,Clasicos de Grecia y Roma,Francisco Javier Gomez Espelosín,Madrid,pp8,"Only eleven from twenty four books of Guerras Ibericas have been transmitted to us, including the two collected in this volume: the VI, focused on Hispania and the Iberian wars (Sagunto, the campaigns of Viriato, Numancia), and the VII , dedicated to one of the worst and most bitter enemies of Rome: Hannibal."
plutarco_demetrio-antonio_001,plutarco_demetrio-antonio_001.pdf,Vidas Paralelas: Demetrio y Antonio,Plutarco,2/5/07,Demetrio; Plutarco; Marco Antonio; Cleopatra; Ptolomeo; Roma; Grecia,Roma; Egipto; Grecia,personal coleccion,application/pdf,spa,In Copyright - Educational Use Permitted.,http://rightsstatements.org/vocab/InC-EDU/1.0/,4.33 x 6.89 in,.pdf,Alianza Editorial,Clasicos de Grecia y Roma,Juan Francisco Martos Montiel,Madrid,pp8,"Las Vidas de Demetrio y Antonio present the eventful existence of Demetrius Poliorceta (337 BC-283 BC), son of Antigonus the One-Eyed, one of Alexander the Great's generals who fought for the succession of the great conqueror, and that of Mark Antony (83-30 BC), Octavian's rival triumvir, the future Augustus"
plutarco_aristidesycaton_001,plutarco_aristidesycaton_001.pdf,Vidas Paralelas: Arístides y Catón,Plutarco,6/20/03,Arístides; Arconte; Calias; Salamina; Catón;Tusculum; Grecia; Cartago,Atenas; Peneloponeso; Esparta,personal coleccion,application/pdf,spa,In Copyright - Educational Use Permitted.,http://rightsstatements.org/vocab/InC-EDU/1.0/,4.33 x 6.69 in,.pdf,Akal Ediciones,Griegos,Luis Conti Jimenez,Madrid,pp9,"In Las vidas of the Athenian politician Aristides (5th century BC) and the Roman censor M. Porcio Cato (III-II centuries BC), translated in this volume, Plutarch delves into the small details that make up the character of both character; It is their mood that, with his virtues and defects, is presented to us as truly responsible for the political and military events in which both figures participate."
plutarco_pericles_fabiomaximo_0001,plutarco_pericles_fabiomaximo_0001.pdf,Vidas paralelas: Pericles y Fabio Máximo,Plutarco,10/14/10,Pericles; Atenas; Peloponeso; Grecia; Fabio Máximo; Guerra Púnica; Partenón,Atenas; Macedonia; Egina; Tesalia; Tebas; Esparta,personal coleccion,application/pdf,spa,In Copyright - Educational Use Permitted.,http://rightsstatements.org/vocab/InC-EDU/1.0/,5.51 x 8.39 in,.pdf,Editorial Gredos,Textos Clásicos,Bernardo Perea Morales,Madrid,pp11,"Las Vidas of Pericles (5th century BC) and Fabius Maximus (3rd century BC) open up to show us men whose firmness of character gave security, respectively, to Rome and Athens at critical moments in their history. The first knew how to foresee the future with intelligence, although the gods did not allow him to develop it as he wanted. The second is an example of the serenity, security and prudence that, in the opinion of the man from Queron, the good politician must show in the difficulties of the homeland. Like his Greek couple, following his own criteria in the face of the irrationality of the people and other characters, he emerges with the stature of the authentic architect of the salvation of Rome before Hannibal."
plutarco_vidadelosdiezoradores_001,plutarco_vidadelosdiezoradores_001.pdf,Vidas de los Diez Oradores,Plutarco,9/27/05,Astucia de Animales; Ríos; Hidaspes; Licurgo; Demóstenes; Hipérdides; Macedonia,Atenas; India; Hidaspes; Etolia; Babilonia; Tiro,personal coleccion,application/pdf,spa,In Copyright - Educational Use Permitted.,http://rightsstatements.org/vocab/InC-EDU/1.0/,4.33 x 6.69 in,.pdf,Akal Ediciones,Griegos,Inmaculada Rodriguez Moreno,Madrid,pp10,"In Las Vidas de los Diez Oradores, the 10 best Attic speakers (Licurgus, Demosthenes, Hyperides.) whose speeches deserve to be preserved and studied are grouped together. Sobre la Astucia de los Animales, it acts as a unique bestiary that covers the entire animal group, both marine and terrestrial, and their peculiar behavior. Finally, in Sobre los ríos there is room for innumerable mythical legends and names of plants and stones, sometimes fictitious. These last two essays are not without their charm for a modern reader."
plutarco_alejandroycesar_001,plutarco_alejandroycesar_001.pdf,Vidas Paralelas: Alejandro y César,Plutarco,2/4/16,Alejandro Magno; Macedonia; Helesponto; Isos; Gaugamela; Julio Cesar; Galia,Helesponto; Macedonia; Tebas; Persia; Gaugamela,personal coleccion,application/pdf,spa,In Copyright - Educational Use Permitted.,http://rightsstatements.org/vocab/InC-EDU/1.0/,4.72 x 7.09 in,.pdf,Alianza Editorial,Clasicos de Grecia y Roma,Antonio Guzman Guerra,Madrid,pp8,"This book contains the pairing ""Alejandro Magno y Julio Cesar"", undoubtedly the most famous, both for the historical magnitude of the biographies and for its essential use as a source when addressing any study on them. Masterfully, Plutarch examines both the formation of both characters and their intellectual and political evolution, with immense psychological insight and rhetorical skill, which underlines that beyond being a brilliant historian, Plutarch was above all a great philosopher and an extraordinary psychologist."
plutarco_vidassertorio_pompeyo_0001,plutarco_vidassertorio_pompeyo_0001.pdf,Vidas Paralelas: Setorio y Pompeyo,Plutarco,9/10/04,Pompeyo Magno; Pelusio; Guerra Civil Romana; Galia Cisalpina; Cimbrios;Teutones; Egipto,Roma; Egipto; Grecia; Hispania; Galia,personal coleccion,application/pdf,spa,In Copyright - Educational Use Permitted.,http://rightsstatements.org/vocab/InC-EDU/1.0/,4.33 x 6.69 in,.pdf,Alianza Editorial,Griegos,Rosa Aguilar,Madrid,pp11,"This book presents the civil and military actions of these two Romans from the time of the Republic. The first, Sertorio, fled from Rome for political reasons and took refuge in Hispania, raised a Roman State in our peninsula. The other, Pompeyo, sent by Rome to end this situation, defeated him. Other passages of their lives are also told about both, from a moral, biographical and historical point of view. The original text is accompanied by an introductory study and a complete set of notes made by two specialists in the field."
suetonio_vidadeloscesares_0001,suetonio_vidadeloscesares_0001.pdf,Vida de los Doce Cesares,Suetonio,6/28/18,Suetonio; Dinastía Julio-Claudiana; Nerón; Calígula; Claudio; Tiberio; Octavia; Julia,Roma; Egipto; Grecia; Galia; Hispania,personal coleccion,application/pdf,spa,In Copyright - Educational Use Permitted.,http://rightsstatements.org/vocab/InC-EDU/1.0/,4.72 x 7.09 in,.pdf,Alianza Editorial,Clasicos de Grecia y Roma,David Castro de Castro,Madrid,pp10,"The main book of Cayo Suetonio Tranquilo, Vida de los Doce Cesares, transports us as exceptional spectators to one of those milestones -that of the gradual replacement of the Republic by the Empire-, introducing us into the lives of the first twelve men who designed , materialized and consolidated this new political structure of the Roman State, some of which became sadly famous due to their cruelty, excesses and abuses of all kinds, although all of them make up the gallery of the best known and most popular characters in ancient Rome. They are biographies of twelve Caesars, from Julius Caesar to Domitian."
tacito_anales_0001,tacito_anales_0001.pdf,Anales,Tacito,11/9/17,Tácito; Senatus Populusque Romanus; Imperio Romano; Dinastía Julio-Claudiana; Tiberio; Nerón; Calígula,Roma; Egipto; Grecia; Galia; Hispania,personal coleccion,application/pdf,spa,In Copyright - Educational Use Permitted.,http://rightsstatements.org/vocab/InC-EDU/1.0/,4.72 x 7.09 in,.pdf,Alianza Editorial,Clasicos de Grecia y Roma,Crescente Lopez de Juan,Madrid,pp10,"This book portrays the turbulent history of Rome during the half century corresponding to the government of the Julio-Claudian emperors, the ""Anales"" of Cornelio Tácito (ca. 56-117 AD) constitute one of the fundamental pillars of classical historiography. It is mainly to this work that certain events and anecdotes of that time owe their notoriety, such as the mysterious death of Germanicus, Tiberius' stay in Capri, the poisoning of Claudius or the matricide of Nerón."
tacito_historias_001,tacito_historias_001.pdf,Historias,Tacito,2/19/90, Tácito; Galba; Otón; Vitelio; Vespasiano; Annus Quattuor Imperatorum; Dinastía Flavia,Roma; Egipto; Judea; Cirenaica,personal coleccion,application/pdf,spa,In Copyright - Educational Use Permitted.,http://rightsstatements.org/vocab/InC-EDU/1.0/,4.33 x 6.69 in,.pdf,Akal Ediciones,Latinos,Jose Luis Moralejo,Madrid,pp9,"This book, Historias, of Tacito, written in the first years of the 2nd century AD and handed down to us in a very fragmentary way, are the most important source available to us for knowledge of the first great crisis of the Roman Empire: the one that developed throughout the dramatic year AD 69, ""the year of the four emperors"" (Galba, Otto, Vitellio and Vespasiano)"
